Alarm,Sub-Code,Message,Cause
1031,0001-0030, MEMORY ERROR (MOTION1) , The file data used by MOTION are damaged. The sub code stands for the defective data. 01: The home position calibration file 02: The tool file 30: The macro definition file 
1050,0001-0002, SET-UP PROCESS ERROR (SYSCON) , The motion instruction did not start up. The sub code stands for the alarm factor 
1051,0001-000C, SET-UP PROCESS ERROR (MOTION) , This alarm is caused by an incomplete set up of the MOTION program file. The subcode shows the software internal process. 
1100,0000-FFFF, SYSTEM ERROR , An unknown alarm was detected because of noise or control error. The sub code stands for the detected error code. 
1101,0000-00FF, SYSTEM ERROR (SYSTEM 1) , An error occurred during the sytem control check due to a software bugs or invalid NCP30 RAM data. 
1102,0000-00FF, SYSTEM ERROR (SYSTEM 2) , An error occurred during the sytem control check due to a software bugs or invalid NCP30 RAM data. 
1103,0000-0008, SYSTEM ERROR (EVENT) , An error occurred during the system event data control check due to a software bugs or invalid NCP30 RAM data. 
1104,0080, SYSTEM ERROR (CIO), This alarm is caused by an invalid CIO parameter. Other possible causes are a corrupt CF memory or NCP30 memory.
1105,07D0,SYSTEM ERROR (SERVO) ,The status setting to base block is different from that of base block signal reading from JL056. 
1105,2710, SYSTEM ERROR (SERVO) , ONEN signal is open. 
1105,0000-8027, SYSTEM ERROR (SERVO) , Servo control board detected corrupt internal data due to software bugs or corrupt RAM. The sub code stands for the alarm factor. 
1200,0000, HIGH TEMPERATURE , The temperature inside the controller (CPS power supply unit) is too high. 
1202,0000, FAULT , An error occurred in the NCP30 due to: - Defective board - Incorrect connection - software control error 
1204,0001, COMMUNICATION ERROR ( MODULE) , Communications and power supply error occurred in the NIF30 due to: - Loose X33 connector. - Invalid CIO parameter - Corrupt memory in the NCP30 
1207,0001-0003, BROKEN B_ON RELAY FUSE (NIF30) , The brake relay fuse was blown. 
1208,0001-0003, BROKEN S_ON RELAY FUSE (NIF30) , The servo-ON relay fuse was blown. 
1209,0001-0003, EXTERNAL WDT BROKEN (NIF30), This alarm is caused by a failure of the external WDT (watch dog timer) circuit on the NIF30 board. Possible causes are a defective circuit or electrical noise.
1210,0001-0003,SERIAL COMMUNICATION TOGGLE CHECK ERROR (NIF30) ,This alarm is caused by a failure a serial communication toggle check circuit on the NIF30 board. Possible causes are a defective circuit or electrical noise. 
1211,0001-8000, INPUT COMPARISON ERROR (NIF30) ," The signal does not have a match signal as a result the mutual check of a dual signal. This alarm can be caused by an error the user wiring, a damaged NIF30 board or electrical noise. The sub code stands for the defective signal. 0001 : PBESP signal 0002 : PPESP signal 0004 : EXESP signal 0020 : SAF_F signal 0080 : EXSVON signal 0200 : FORCE signal 0400 : DSW signal 1000 : EXDSW signal 8000 : FST signal Sub codes not listed above would indicate a NIF30 circuit board failure or an electrical noise problem. "
1212,0001-0003, PLD MUTUAL MONITOR ERROR (NIF30) , The input comparison error occurred. 
1213,0001-0003, MUTUAL WDT ERROR (NIF30) , The input comparison error occurred. 
1214,0001-0003, PBESP RELAY STICKING , The emergency stop button of teach pendant PBESP is melted and stuck. 
1215,0001-0003, PPESP RELAY STICKING , The emergency stop button of programming pendant PPESP is melted and stuck. 
1216,0001-0003, EXESP RELAY STICKING , The external emergency stop button EXESP is melted and stuck. 
1217,0001-0003, S_ON RELAY STICKING , The servo-ON relay is melted and stuck. 
1218,0001-0003, B_ON RELAY STICKING , The brake relay is melted and stuck. 
1219,0000, ANOTHER PLD EXT WDT ERROR (NIF BOARD), The watchdog timer checking the safety circuit is incorrect.
1300,0000,SERVO CPU SYNCHRONIZING ERROR ,The connection between the NCP30 and the AXC01 is abnormal. ï The cable between the NCP30 and the AXC01 is incomplete ï The connection of the terminal connector is incomplete. ï The NCP30 is defective. ï The AXC01 is defective. 
1301,0001-0003, COMMUNICATION ERROR (SERVO) , The communication between the NCP30 and the AXC01 is abnormal. ï The cable between the NCP30 and the AXC01 is improper. ï The connection of the terminal connector is incomplete. ï The NCP30 defect ï The AXC01 defect The sub code stands for the alarm factor. 01: Watch dog error 02: JL040 alarm 03: Communication status error 
1302,0001-006F, COMMUNICATION ERROR (SERVO I/O) , The communication between the AXC01 and the NTU30 is abnormal. ï The AXC01 is abnormal. ï The NTU30 is abnormal. ï The cable between the AXC01 and the NTU30 is abnormal. The sub code stands for the alarm factor. 01: Interruption detected 02: Status error 6E: Communication loop back error 6F: MechatroLink data reception error 
1303,0000-FFFF, ARITHMETIC ERROR (SERVO) , An error occurred in control arithmetic process or parameter arithmetic process. 
1304,0000, EX-AXIS BOARD NOT INSTALLED , The external board (AXD01) is not mounted although an external axis is specified. 
1306,0001-01FF, AMPLIFIER TYPE MISMATCH, The type of the amplifier displayed in axis data is different from the type in the system configuration. ï The type of the amplifier is not correct. ï The type of the amplifier is different from the type in the system configuration. ï Defective amplifier ï Defective AXC01 The sub code stands for Physical axis.
1307,0001-01FF,ENCODER TYPE MISMATCH ,The type of the encoder displayed in the axis data is different form the type of the encoder set in the system configuration. ï The type of the encoder is not correct. ï System configuration is not correct. ï Defective encoder ï Defective AXC01 ï Defective connection of encoder cable The sub code stands for Physical axis. 
1308,0001, CONVERTER TYPE MISMATCH , The converter model set in the system configuration is different from that of the one mounted. 
1309,0001, HARDWARE ERROR (CONVERTER) , Converter hardware is incorrect. 
1310,0001, CHARGE ERROR (CONVERTER) , The voltage of main DC circuit did not rise above DC40V. 
1311,0001, A/D DETECTION ERROR (CONVERTER) , Abnormal current data is detected. 
1312,0001, ID ERROR (CONVERTER) , Converter type mismatch is detected by servo control board during power-up. 
1325,0001-001F, COMMUNICATION ERROR (ENCODER), Communication error occurred between the encoder and the AXC01 due to: - Misconnection of encoder - Noise from external devices - Incorrect motor type - Defective servo control circuit board or encoder The sub code stands for the defectiv axis.
1326,0001-001F,DEFECTIVE ENCODER ABSOLUTE DATA ,The encoder data error is detected at power-up. The encoder data exceeds preset limit value. The sub code stands for the defectiv axis. 
1328,0001-001F, DEFECTIVE SERIAL ENCODER , Encoder internal data error is detected in serial communication between the controller and the encoder. The sub code stands for the defectiv axis. 
1329,0001-001F, DEFECTIVE SERIAL ENCODER COMMAND , Encoder command execution error is detected in serial communication between the controller and the encoder. The sub code stands for the defectiv axis. 
1330,0001-001F, MICRO PROGRAM TRANSMIT ERROR , Defective servo control circuit board (Occurred only when the control power supply turned ON.) The sub code stands for the defectiv axis. 
1343,0065-006A, COMMUNICATION ERROR (CONVERTER) , Serial communication error between the AXC01 and the COBCB030GAA. The sub code stands for the alarm factor. 65: Communication status error 66: Command timeout 67: Transmission error 68: Check sum error of received data 69: Error code reception 6A: Received command error 
1352,0001-001F, SERIAL CORRECTION FAILED , An error was detected in bit shifting compensation. The sub code stands for the defectiv axis. 
1355,0001-001F, SERIAL ENC MULTITURN LIMIT ERR , The NXC100 checks the multiple rotation number of the encoder. This alarm occurs when the parameter of the multiple rotation number is not set to the appropriate value. The sub code stands for the defectiv axis. 
1360,0000, PA NOT INSTALLED , The prealigner is not mounted although use of the prealigner has been selected. 
1500,0000, PLD INTERNAL MUTUAL MONITOR ERROR (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1501,0000, SVMX RELAY STICKING (SERVO I/O), PLD internal mutual monitoring error is sent from the TU circuit board.
1502,0000,TACTOR STICKING (SERVO I/O) ,PLD internal mutual monitoring error is sent from the TU circuit board. 
1503,0000, INPUT COMPARISON ERROR (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1504,0000, TUSON RELAY BREAKDOWN (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1505,0000, B_ON RELAY FUSE BREAKDOWN (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1506,0000, MAIN TACTOR RELAY FUSE BREAKDOWN (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1507,0000, S_ON RELAY FUSE BREAKDOWN (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1508,0000, MUTUAL WDT ERROR (SERVO I/O), PLD internal mutual monitoring error is sent from the TU circuit board.
1509,0000,EXTERNAL WDT OVER (SERVO I/O) ,PLD internal mutual monitoring error is sent from the TU circuit board. 
1510,0000, EXTERNAL WDT BREAKDOWN (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1511,, SERIAL COMMUNICATION TOGGLE CHECK ERROR (SERVO I/O) , PLD internal mutual monitoring error is sent from the TU circuit board. 
1514,, OVERHEAT (AMPLIFIER) , Amplifier overheated. 
4000,0000-0017, MEMORY ERROR (TOOL FILE) , The memory for the tool file is damaged. The sub code stands for tool file number. 
4004,0000, MEMORY ERROR (HOME POS FILE) , The memory for the home positioning file is damaged. 
4005,0000, MEMORY ERROR (SECOND HOME POS) , The memory for the second home position file is damaged. 
4026,0000-0099, MEMORY ERROR(CON DITION FILE), The memory for the condition file is damaged. The sub code is a file number. in whitch checksum error happend.
4100,0001,OVERRUN (ROBOT AXIS) ,"NXC100 received robot overrun signal. The signal is disabled at default, so the possible causes are wiring defects or board defects. "
4101,0001, OVERRUN (EXTERNAL AXIS) ," NXC100 received external unit overrun signal. The signal is disabled at default, so the possible causes are wiring defects or board defects. "
4102,0001, SYSTEM DATA HAS BEEN CHANGED , This alarm occurs when a servo on command is executed without a power cycle after changing system parameters. 
4109,0000, DC24V POWER SUPPLY FAILURE (I/ O) , This alarm is caused by no 24vdc power at the controller x33 connector. 
4110,0001, SHOCK SENSOR ACTIVATION ," NXC100 received the robot shock sensor signal. The signal is disabled at default, so the possible causes are wiring defects or board defects. "
4111,0000, BRAKE FUSE BREAKDOWN ," This alarm occurs when the brake output relay fuse for NTU30 is broken. The possible causes are NTU30 board defects, or, less often, contact failure or noise. "
4119,0000, FAN ERROR (IN CONTROL BOX) , The rotation speed of in-panel cooling fan decreased. 
4200,0001-0023, SYSTEM ERROR (FILE DATA)," The error occurs in the file data access (file edition, CF operation) due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor."
4201,0001-0063,SYSTEM ERROR (JOB),"The error occurs in the MOTION job access. job edition, CF operation) The sub code stands for the alarm factor. 01: Parameter error 02: Access time over 03: Access error 04: Job name error Invalid character is used for the job name. 05: Existing job open The job name already exists in the memory at the new job creation. 06: The area (memory) of the registered job exceeds the available range. 07: The job which does not exist in the memory is selected for display. 08: The edit-lock job is specified for edition. 09: Handle value illegality 0A: System error 0B: Sequence number error 0C: Step number error 0D: The job specified for search does not exist in the memory. 0E: Invalid command exists in the job.(Software unmatch, or data unmatch by software update) 10: Opened handle shortage 11: Write impossibility by multi open 12: The command number exceeds 9999 at the command insertion to the job. 13: The step number exceeds 999 at the step insertion to the job. 14: A job was newly created with the same name of the undefined job already specified in the memory. 63: Job memory destruction Except for sub code above: Software bugs or invalid NCP30 RAM memory."
4202,0001-0063,SYSTEM ERROR (JOB),"The error occurs in the MOTION job access. (job edition, CF operation) The sub code stands for the alarm factor. 01: Parameter error 02: Access time over 03: Access error 04: Job name error Invalid character is used for the job name. 05: Existing job open The job name already exists in the memory at the new job creation. 06: The area (memory) of the registered job exceeds the available range. 07: The job which does not exist in the memory is selected for display. 08: The edit-lock job is specified for edition. 09: Handle value illegality 0A: System error 0B: Sequence number error 0C: Step number error 0D: The job specified for search does not exist in the memory. 0E: Invalid command exists in the job.(Software unmatch, or data unmatch by software update) 10: Opened handle shortage 11: Write impossibility by multi open 12: The command number exceeds 9999 at the command insertion to the job. 13: The step number exceeds 999 at the step insertion to the job. 14: A job was newly created with the same name of the undefined job already specified in the memory. 63: Job memory destruction Except for sub code above: Software bugs or invalid NCP30 RAM memory."
4203,0001-0011,SYSTEM ERROR (POSITION DATA),The error occurs in the MOTION position data access. (During play-back / operating) Data stands for the alarm factor. 01: Lack of area Uncompleted initialization (Defect) 02: All axes number are 0. Uncompleted initialization (Defect) 03: Keeping the position on the axes number 0 is unable. Uncompleted initialization (Defect) 04: The total number of the keeping position is exceeded. Uncompleted initialization (Defect) 05: The area is exceeds the system setting. Uncompleted initialization (Default) 06: New acquisition file destruction CMOS memory destruction 07: The registrable position area (memory) is exceeded. 08: Position data destruction CMOS memory destruction 09: Controlling information destruction CMOS memory destruction 0A: Illegal position number CMOS memory destruction 0B: Unregisterable position data 0C: Undefined position -0D: Undefined control group 0E: Uncompleted initialization 0F: The number of axes for the control groups exceeded the limit. 10: An error occurred in exclusive control. 11: An error occurred in exceptional control.
4204,0001-0011,SYSTEM ERROR (POSITION DATA) ,The error occurs in the position data access. (During play-back / operating) Data stands for the alarm factor. 01: Lack of area Uncompleted initialization (Defect) 02: All axes number are 0. Uncompleted initialization (Defect) 03: Keeping the position on the axes number 0 is unable. Uncompleted initialization (Defect) 04: The total number of the keeping position is exceeded. Uncompleted initialization (Defect) 05: The area is exceeds the system setting. Uncompleted initialization (Default) 06: New acquisition file destruction CMOS memory destruction 07: The registrable position area (memory) is exceeded. 08: Position data destruction CMOS memory destruction 09: Controlling information destruction CMOS memory destruction 0A: Illegal position number CMOS memory destruction 0B: Unregisterable position data 0C: Undefined position -0D: Undefined control group 0E: Uncompleted initialization 0F: The number of axes for the control groups exceeded the limit. 10: An error occurred in exclusive control. 11: An error occurred in exceptional control. 
4207,0001-07D0, SYSTEM ERROR (MOTION) , A system error (Command-related processsing FATAL error) occurred in MOTION due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the software internal error code. 
4208,0001-002B, SYSTEM ERROR (ARITH) , A system error occurred in the path control section due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the software internal error code. 
4209,0064-0070, OFFLINE SYSTEM ERROR (ARITH) , A system error occurred in the offline position-data preparation section due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the software internal error code. 
4210,0001-000B, SYSTEM ERROR (Local variable), An error occurred in local variable control process due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the software internal error code.
4220,0001,SERVO POWER OFF FOR JOB ,The servo power is not supplied to Manipulator. 
4220,0002,SERVO POWER OFF FOR JOB , The servo power is not supplied to Prealigner. 
4223,0002-0003, SERVO POWER OFF FOR JOB , A safety circuit signal error occurred in I/O unit. The sub code stands for the defective signal. 02: ON_EN 03: OVSPD 
4301,0001, SAFE CIRCUIT SIGNAL DISAGREEMENT (SERVO) , An error occurred in the contactor due to a defective contactor unit (NTU30) circuit board (AXC01). The contactor of contactor unit did not turn ON at servo ON. The signal from the contactor turned OFF while the servo was ON. The signal from the contactor remains ON when the servo turned OFF at emergency stop. The contactor turned ON while the servo was OFF for emergency stop. The sub code stands for the defective converter No. 
4302,0001, CONTACTOR ERROR , The brake relay signal did not turn ON when the servo turned ON. The brake relay signal turned OFF while the servo was ON. The brake signal remains ON when the servo turned OFF at emergency stop. The brake signal turned ON while the servo was OFF for emergency stop. The following factor causes this alarm. Defective NTU30 power-on unit Defective AXC01 circuit board The sub code stands for the defective power-on unit No. 
4303,0001, BRAKE CIRCUIT ERROR , No response of charge completion was sent from the converter when the servo turned ON. The SERVO READY signal turned OFF while the servo was ON. The SERVO READY signal remains ON when the servo turned OFF at emergency stop. The SERVO READY signal turned ON while the servo was OFF for emergency stop. The primary power supply voltage is too low. The voltage dropped. Defective servo control and/or converter. The sub code stands for the defective converter No.
4304,0001,CONVERTER INPUT POWER ERROR ,ï No response of primary power supply input was sent from the converter when the servo turned ON. ï The READY 1 signal remains ON when the servo turned OFF at emergency stop. ï The READY 1 signal turned ON while the servo was OFF for emergency stop. ï Incorrect wiring or voltage drop of primary power supply ï Defective servo control and/or converter. The sub code stands for the defective converter No. 
4305,0001, CONVERTER CIRCUIT CHARGE ERROR ," ï No response (READY 2 signal) of charge completion was sent from the converter when the servo turned ON. ï The READY 2 signal turned OFF while the servo was ON. ï The READY 2 signal remains ON when the servo turned OFF at emergency stop. ï The READY 2 signal turned ON while the servo was OFF for emergency stop. ï Incorrect wiring and/or voltage drop of primary power supply ï Defective servo control circuit board, converter, and/or amplifier The sub code stands for the defective converter No. "
4306,0001-001F, AMPLIFIER READY SIGNAL ERROR ," ï No response ""Power ON"" was sent from the amplifier when the servo turned ON. ï The amplifier READY signal turned OFF while the servo was ON. ï The amplifier READY signal remains ON when the servo turned OFF at emergency stop. ï The amplifier READY signal turned ON while the servo was OFF for emergency stop. ï Defective servo control circuit board, converter, and/or amplifier . The sub code stands for the defective axis. "
4307,0001-001F, SERVO ON SPEED ERROR, The motion speed of the encoder before the dynamic brake turns OFF in servo ON sequence exceeded the threshold for a certain period. The servo power supply turned ON while the manipulator (motor and encoder) was moving. The sub code stands for the defective axis.
4308,0001,VOLTAGE DROP (CONVERTER) ,The DC power voltage supplied to the SERVOPACK amplifier dropped below 143V due to: - Low voltage of the primary power supply - Open phase - Defective converter - Defective servo control circuit board The sub code stands for the defective converter No. 
4311,0001-001F, ENCODER BACK-UP ERROR , . Encoder resetting (initialization) not completed . The position data in the encoder was lost due to the voltage drop of encoder backup battery. The sub code stands for the defective axis. 
4313,0001-001F, SERIAL ENCODER OVER HEAT , The temperature of the encoder exceeded 100 Å~C. . Encoder thermister failure The sub code stands for the defective axis. 
4315,0001-001F, COLLISION DETECT , Creashed FOUP as FOUP access motion path exeeded given allowable range of position or motion. ÅEExternal force ÅEInterfering with external devices The sub code stands for the defective axis. 
4318,0001-001F, SERIAL ENCODER CORRECT LIMITATION OVER, The speed feedback value of the serial encoder exceeded the allowable limit. The sub code stands for the defective axis.
4320,0001-001F,OVER LOAD (CONTINUE) ,"The motor torque continuously exceeded the rated torque for a certain period due to: ï The motor tends to be overheated and this brings damages to the motor. ï Mis-wiring and disconnection of the U,V,W, lines of the motor ï Improper type of the motor ï External force ï Interfering with external devices ï Defective AXC01 circuit boards ï Defective amplifier ï Defective motor (Encoder) The sub code stands for the defective axis. "
4321,0001-001F, OVER LOAD (INSTANT)," The torque a several times as much as the rated torque has been applied to the motor due to: ï The motor tends to be overheated and this brings damages to the motor. ï Mis-wiring and disconnection of the U,V,W, lines of the motor ï Improper type of the motor ï External force ï Interfering with external devices ï Defective AXC01 circuit boards ï Defective amplifier ï Defective motor (Encoder) The sub code stands for the defective axis."
4322,0001-001F,AMPLIFIER OVER LOAD (CONTINUE) ,"The current a several times as much as the rated current has continuously flown in the amplifier for a certain period due to: ï The motor tends to be overheated and this brings damages to the motor. ï Mis-wiring and disconnection of the U,V,W, lines of the motor ï Improper type of the motor ï External force ï Interfering with external devices ï Defective AXC01 circuit boards ï Defective amplifier ï Defective motor (Encoder) The sub code stands for the defective axis. "
4323,0001-001F, AMPLIFIER OVER LOAD (INSTANT)," The current a several times as much as the rated current has flown in the amplifier for a certain period due to: ï The motor tends to be overheated and this brings damages to the motor. ï Mis-wiring and disconnection of the U,V,W, lines of the motor ï Improper type of the motor ï External force ï Interfering with external devices ï Defective AXC01 circuit boards ï Defective amplifier ï Defective motor (Encoder) The sub code stands for the defective axis."
4326,0001-001F,SPEED ERROR ,The speed exceeded the limit due to: ï Mis-wiring of the UVW lines of the motor ï The motor type is improper. ï The motor is shifted by the external force. ï Defective AXC01 circuit boards ï Defective motor (Encoder) The sub code stands for the defective axis. 
4327,0001-001F, MOTOR ROTATION ERROR ," The motor is out of control. This alarm occurs when the motor is operated reversing to the instruction of the correct turning direction. ï Mis-wiring of the U,V,W, lines of the motor. ï Improper type of the motor ï External force ï Defective AXC01 circuit boards The sub code stands for the defective axis. "
4328,0001-001F, SERVO TRACKING ERROR," The axis deviated from the specified position and motion path beyond the allowable range. ï Mis-wiring and disconnection of the U,V,W, lines of the motor ï Improper type of the motor ï External force ï Interfering with external devices ï Defective AXC01 ï Defective amplifier ï Defective motor (Encoder) The sub code stands for the defective axis."
4334,0001,OVER VOLTAGE (CONVERTER) ,The DC voltage supplied to the amplifier exceeded 420V due to: - Overloaded - The primary power supply is too high. (220V+10%) - Converter failure - Defective servo control circuit board The sub code stands for the defective converter No. 
4335,0001-001F, EARTH FAULT, Ground fault of the motor power line occurred due to: - Motor failure - Ground fault of motor line or lead cables - Defective servo control circuit board - Defective SERVOPACK The sub code stands for the defective axis.
4337,0001-001F,OVER CURRENT (AMPLIFIER) ,Ground fault of the motor power line occurred due to: - Motor failure - Ground fault of motor line or lead cables - Defective servo control circuit board - Defective amplifier - Overheating of amplifier The sub code stands for the defective axis. 
4339,0001, INPUT POWER OVER VOLTAGE (CONV) , The SERVOPACK primary power supply voltage exceeded 242V. The sub code stands for the defective converter No. 
4340,0001, TEMPERATURE ERROR (CONVERTER) , The temperature of the servo pack (converter) is too high. The sub code stands for the defective converter No. 
4353,0001-001F, DEFECTIVE TAUGHT POINT (ENDLESS), Endless motion impossible The standard position of pre-aligner is not unmatch. *The feedback pulse value exceeded the maximum value (maximum number of pulses ≈}536870912) The sub code stands for the defective axis.
4360,0001-0003,WAFER ALIGNMENT ERROR (SERVO) ,An error occurred in communications with the prealigner. The sub code stands for the alarm factor. 01: Sirial communication timeout 02: Sampling buffer overflow 03: Data number not refreshed 
4400,0001-0006, NOT READY (ARITH) , The arithmetic process for motion control did not complete within regulated time due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4401,0001-006A, SEQUENCE TASK CONTROL ERROR , An error occurred in job execution process due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4402,, UNDEFINED COMMAND (ARITH) , An undefined command was issued to the path control section due to: - Software bugs - Invalid NCP30 RAM memory 
4404,0001 or 0007, ARITHMETIC ERROR (MOTION) ," This alarm occurs when the path calculating process in the calculation section hasn't succeeded normaly. The teaching position (MIN, IM1, IM2,, IM3, RDY, STA) for the motion command where the alarm has occurred may have an error. The sub code stands for the alarm factor. 01: MOVL was instructed for the position where the 1st arm was aligned with 2nd arm. 07: Teaching position ≈iMIN, IM1, IM2,, IM3, RDY, STA≈j was specified out of the motion range. "
4405,0001, SELECT ERROR (PARAMETER) , A parameter error occurred in the path control section. The sub code stands for the alarm factor. 01: Selection error of motion system parameter 
4406,0008 or 0009, GROUP AXIS CONTROL ERROR , An internal control error occurred in a coordinated motion. The sub code stands for the alarm factor. 08: Occupation control error 09: Jog operation occupation control specification error 
4413,    , IMPOSSIBLE LINEAR MOTION (S/ L), This alarm occurs when the form (folded direction) of 1st and 2nd axes at start point and end point are different in the execution of MOVJ instructions. The teaching position for the motion command where the alarm has occured may have an error.
4414,0001-001F,EXCESSIVE SEGMENT (LOW SPEED) ,The manipulator motion speed exceeded the limit (LOW level). The sub code stands for the defective axis. 
4415,0001-001F, EXCESSIVE SEGMENT (HIGH SPEED) , The manipulator motion speed exceeded the limit (HIGH level). The sub code stands for the defective axis. 
4416,0001-001F, PULSE LIMIT (MIN.) , The manipulator exceeded its motion limit (pulse limit) in the negative (-) direction. The sub code stands for the defective axis. 
4417,0001-001F, PULSE LIMIT (MAX.) , The manipulator exceeded its motion limit (pulse limit) in the positive (+) direction. The sub code stands for the defective axis. 
4420,0001-001F, SPECIAL SOFTLIMIT (MIN.) , The manipulator exceeded its motion limit (special software limit) in the negative (-) direction. The sub code stands for the defective axis. 
4421,0001-001F, SPECIAL SOFTLIMIT (MAX.) , The manipulator exceeded its motion limit (special software limit) in the positive (+) direction. The sub code stands for the defective axis. 
4422,0001-001F, MECHANICAL INTERFERENCE (MIN.) , The manipulator exceeded its minimum- angle motion limit. (Mechanical interference) The sub code stands for the defective axis. 
4423,0001-001F, MECHANICAL INTERFERENCE (MAX.) , The manipulator exceeded its maximum- angle motion limit. (Mechanical interference) The sub code stands for the defective axis. 
